"record_type","client_name","client_type","segment","buyer_type","stage_fit","offer_fit","geography_fit","company_size_fit","buyer_titles","main_pain","urgency_signals","disqualifiers","primary_package_fit","secondary_package_fit","outreach_priority","source_reference","notes"
"example_company","Gumloop","software_company","B2B SaaS and AI SaaS","head_of_marketing_or_growth","Growth-stage lean team","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Founder; CEO; Head of Marketing; Content Marketing Manager","Likely needs clearer market-facing execution around content, launches, and distribution","Named in the first-wave SaaS examples; AI/software segment implies active GTM and education needs","No visible marketing motion after validation; consulting-heavy positioning","Engine","Full Stack","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Source-listed example only; exact buyer and company data need enrichment."
"example_company","Hatica","software_company","B2B SaaS and AI SaaS","head_of_marketing_or_growth","Growth-stage lean team","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Founder; Head of Marketing; Growth Marketing Manager; Product Marketing Manager","Could benefit from stronger content and launch execution to support an active product narrative","Named as a strong SaaS sample target; first-wave placement suggests visible GTM relevance","No visible GTM motion after validation; weak content footprint","Engine","Full Stack","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Classification is based on source-list placement, not on live-site verification."
"example_company","Cypris","software_company","B2B SaaS and AI SaaS","product_marketing_or_content_lead","Growth-stage lean team","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Head of Marketing; Product Marketing Manager; Head of Content; SEO Manager","Likely needs a stronger content engine and product-led SEO to support demand generation","Named among strongest B2B SaaS examples; segment suggests content and launch relevance","No visible content or launch activity after validation; enterprise-scale internal team","Engine","Full Stack","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Example company from the repo shortlist; exact fit still needs manual validation."
"example_company","Cleanlab","software_company","B2B SaaS and AI SaaS","product_marketing_or_content_lead","Series A/B content engine","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Head of Marketing; Product Marketing Manager; Head of Content; SEO Manager","May need help translating technical product depth into repeatable content, launch, and SEO programs","Named in the strongest SaaS examples; technical AI positioning suggests market-translation demand","No visible demand-gen motion after validation; purely research-led presence","Full Stack","Engine","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Technical-software classification is inferred from the segment docs and should be checked before contact enrichment."
"example_company","Emitrr","software_company","Revenue / Sales / Customer Software","head_of_marketing_or_growth","Growth-stage lean team","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Head of Marketing; Demand Generation Manager; Growth Marketing Manager; Product Marketing Manager","Likely needs content and campaign execution tied to pipeline, demos, and customer acquisition","Named as a strong commercial fit in revenue-facing software; segment implies GTM urgency","No visible pipeline-oriented marketing motion after validation; consulting-heavy positioning","Engine","Full Stack","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Example company from the source shortlist; exact stage and buyer need validation."
"example_company","Sequence","software_company","Revenue / Sales / Customer Software","head_of_marketing_or_growth","Growth-stage lean team","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Head of Marketing; Growth Marketing Manager; Demand Generation Manager; Product Marketing Manager","Could use sharper content, social, and webinar execution connected to revenue language","Named as a strong commercial fit; segment placement suggests clear GTM relevance","No visible GTM motion after validation; no content or launch footprint","Engine","Full Stack","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Prioritized because revenue-facing software is one of the clearest commercial sub-segments."
"example_company","MonetizeNow","software_company","Revenue / Sales / Customer Software","head_of_marketing_or_growth","Growth-stage lean team","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Head of Marketing; VP Marketing; Demand Generation Manager; Product Marketing Manager","Likely needs content, launches, and reporting support tied to buyer education and pipeline","Named as a strong commercial fit in the source; revenue-facing software usually maps well to demand-gen support","No visible launch or content activity after validation; oversized internal marketing org","Engine","Full Stack","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Company-level facts beyond the name are not validated in this repo."
"example_company","CaliberMind","software_company","Revenue / Sales / Customer Software","marketing_ops_or_revops","Series A/B content engine","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Head of Marketing; Marketing Operations Manager; RevOps Manager; Product Marketing Manager","May need content, reporting, and attribution support that complements a revenue-focused product story","Named as a strong commercial fit; segment naturally aligns with reporting and GTM support","No visible GTM motion after validation; no buyer-facing content footprint","Full Stack","Engine","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Package fit is inferred from the revenue-and-reporting segment logic and must be confirmed during qualification."
"example_company","CloudQuery","software_company","Workflow / Ops / Automation Software","product_marketing_or_content_lead","Seed to Series A lean team","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Product Marketing Manager; Head of Content; Head of Marketing; CEO","Likely needs clearer messaging and stronger launch follow-through for a technical workflow product","Named in workflow and automation examples; segment suggests technical product translation need","No GTM motion after validation; implementation-heavy services mix","Engine","Full Stack","P2 - Second Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Good candidate, but workflow and automation names usually need one more visible urgency signal before P1."
"example_company","Flexxbotics","software_company","Workflow / Ops / Automation Software","product_marketing_or_content_lead","Growth-stage lean team","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Head of Marketing; Product Marketing Manager; Head of Content; CEO","Could benefit from better content and launch execution to make a technical product easier to buy","Named as a good fit when GTM motion is visible; segment suggests messaging and rollout needs","No visible launch or content activity after validation; services-heavy positioning","Engine","Full Stack","P2 - Second Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Example company from the source list; priority should rise only after confirming live marketing activity."
"example_company","Pliant","software_company","Workflow / Ops / Automation Software","product_marketing_or_content_lead","Growth-stage lean team","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Head of Marketing; Product Marketing Manager; Growth Marketing Manager; CEO","Likely needs launch, content, and SEO support that clarifies workflow value for buyers","Named as a good fit when GTM motion is visible; product category fits technical messaging support","No visible demand-gen motion after validation; unclear buyer education footprint","Engine","Full Stack","P2 - Second Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Source-listed example only; exact buyer and company profile need enrichment."
"example_company","Evervault","software_company","Analytics / Data / Infrastructure Software","product_marketing_or_content_lead","Series A/B content engine","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Head of Marketing; Product Marketing Manager; Head of Content; SEO Manager","May need stronger market translation, technical content, and distribution for a complex product story","Named as a strong technical-software fit; segment implies thought leadership and product education demand","No visible audience-building after validation; enterprise-scale internal team","Full Stack","Engine","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Technical infrastructure example from the repo shortlist; stage and fit are inferred, not manually confirmed."
"example_company","QC Ware","software_company","Analytics / Data / Infrastructure Software","product_marketing_or_content_lead","Series A/B content engine","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Head of Marketing; Product Marketing Manager; Head of Content; SEO Manager","Likely needs stronger technical content and market-facing narratives that support launches and thought leadership","Named in the strong technical-software examples; segment suggests a need for translation and distribution","No visible content or launch motion after validation; research-only footprint","Full Stack","Engine","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Use as a high-fit example, but confirm live marketing signals before enrichment."
